Card_Number,Card_Family,Cust_ID,Account Status,Reason_Code,Reason 
4806-6889-9908-7496,Premium,CC86051,A,G,Good
8467-5358-5569-3718,Gold,CC94597,A,G,Good
8685-1513-4751-8018,Platinum,CC14057,A,G,Good
7296-3224-2880-5747,Gold,CC28847,B,F,Fraud
6286-3397-5051-8445,Premium,CC27713,A,G,Good
9376-8684-9599-2988,Premium,CC56295,A,G,Good
8839-9467-3960-3997,Gold,CC85309,A,G,Good
8481-9097-2828-9363,Gold,CC29396,A,G,Good
4220-2591-3295-3300,Premium,CC70263,A,G,Good
5530-2431-5627-8837,Gold,CC86399,A,G,Good
6272-7021-2748-1471,Gold,CC61384,A,G,Good
4262-7103-6508-4214,Gold,CC50151,A,G,Good
5254-4916-6547-4795,Platinum,CC20509,A,G,Good
2240-2748-8514-4335,Gold,CC11671,A,G,Good
7212-8665-7734-5918,Platinum,CC43841,B,F,Fraud
3970-3872-2591-7629,Platinum,CC37463,A,G,Good
5805-3882-2982-9418,Gold,CC19293,A,G,Good
3671-4079-8067-8622,Platinum,CC41914,A,G,Good
5864-4475-3659-1440,Gold,CC99402,A,G,Good
9604-6821-2861-8084,Gold,CC16029,C,F,Fraud
5262-2954-4306-9001,Platinum,CC82406,B,F,Fraud
2077-2389-7798-4862,Premium,CC19277,B,F,Fraud
7326-9558-4788-5128,Premium,CC86189,B,F,Fraud
2158-2612-7934-6228,Gold,CC59641,B,F,Fraud
1655-7617-4318-5963,Gold,CC93075,B,F,Fraud
7729-4037-1361-9467,Premium,CC34817,B,F,Fraud
1336-9200-1264-2551,Premium,CC16420,B,L,Lost
8951-3220-4809-9797,Premium,CC74145,B,L,Lost
8711-5325-4752-4743,Platinum,CC78221,B,L,Lost
2342-6589-6557-6739,Premium,CC53541,B,L,Lost
4933-8895-6001-8577,Gold,CC80950,B,L,Lost
6531-1690-4324-2760,Premium,CC85730,B,L,Lost
8214-9590-3044-1216,Premium,CC60926,B,L,Lost
8159-1257-4706-7544,Premium,CC34083,B,L,Lost
9558-5469-2562-5608,Premium,CC30954,B,L,Lost
8106-9789-1679-2552,Premium,CC84463,B,L,Lost
2349-2290-6329-3624,Premium,CC18795,C,F,Fraud
6415-7043-2998-3377,Premium,CC99130,C,F,Fraud
9843-6858-7863-1891,Platinum,CC15310,C,F,Fraud
1519-5130-5810-8539,Premium,CC88046,C,F,Fraud
4138-5166-7490-1188,Gold,CC95099,C,F,Fraud
7767-7920-7733-4210,Premium,CC91963,C,F,Fraud
8231-5519-1948-3400,Premium,CC71365,B,L,Lost
8673-7935-5776-9119,Premium,CC56752,A,G,Good
5982-5047-2653-9052,Premium,CC68522,C,F,Fraud
9162-3465-6654-4891,Gold,CC13173,C,F,Fraud
7815-2405-2962-6053,Gold,CC85400,C,F,Fraud
7047-9622-9693-9968,Gold,CC29028,C,F,Fraud
1159-7886-1385-5540,Platinum,CC13567,C,F,Fraud
4092-8604-7363-3393,Premium,CC25257,C,F,Fraud
2046-1892-2379-9050,Premium,CC15336,C,F,Fraud
7752-7762-8832-3142,Platinum,CC37643,C,F,Fraud
4203-1225-4528-2939,Platinum,CC14238,C,S,Stolen
4530-1687-6778-1250,Gold,CC67129,C,S,Stolen
4973-1293-1664-2086,Gold,CC36447,C,S,Stolen
6321-2048-7733-8765,Premium,CC81662,C,S,Stolen
6770-3803-2120-3012,Premium,CC27770,C,S,Stolen
4338-7681-3950-6850,Premium,CC53538,C,S,Stolen
4037-7862-8119-1361,Premium,CC84380,C,S,Stolen
1992-1719-3506-9652,Platinum,CC63063,C,S,Stolen
8769-1185-5731-6569,Platinum,CC14997,B,L,Lost
4610-9984-7768-4610,Premium,CC84470,B,L,Lost
6570-8163-4369-9734,Gold,CC50124,B,S,Stolen
7708-8807-7837-8812,Platinum,CC56647,A,G,Good
4661-5769-5059-2114,Premium,CC45677,A,G,Good
9302-6470-7735-6371,Premium,CC58963,A,G,Good
1683-2865-3396-4925,Platinum,CC84372,A,G,Good
4818-7275-3513-3939,Premium,CC11231,A,G,Good
4349-5976-1214-5524,Premium,CC38302,A,G,Good
6479-5593-2105-9060,Premium,CC18744,A,G,Good
5962-5634-2696-2739,Platinum,CC91171,A,G,Good
5960-5753-3689-8262,Gold,CC21935,A,G,Good
8115-7743-6213-9284,Premium,CC42687,A,G,Good
3708-8801-1521-8042,Platinum,CC51316,B,S,Stolen
6876-7378-4945-3251,Gold,CC46077,B,S,Stolen
1290-5480-3763-3387,Gold,CC68752,B,S,Stolen
8499-3007-6025-2772,Premium,CC32108,B,S,Stolen
9207-1270-6690-4905,Gold,CC65624,A,G,Good
6012-7799-2842-7221,Premium,CC61926,A,G,Good
3405-7202-8402-5988,Premium,CC34868,A,G,Good
3313-4024-5109-8235,Gold,CC78536,A,G,Good
9248-9032-8076-1225,Gold,CC83282,A,G,Good
2422-2354-4628-4556,Gold,CC35621,A,G,Good
8228-6661-8736-2838,Premium,CC24049,A,G,Good
3623-4506-7311-5151,Gold,CC21283,A,G,Good
1127-9633-2269-3119,Gold,CC97420,A,G,Good
8522-7783-9262-6673,Gold,CC29886,A,G,Good
6197-7150-9163-8287,Gold,CC69968,A,G,Good
2830-1922-3225-5423,Premium,CC41498,A,G,Good
9425-1481-6545-6190,Premium,CC84333,B,S,Stolen
7795-9930-1867-6279,Platinum,CC96446,B,S,Stolen
9304-8255-4381-2028,Gold,CC39362,B,S,Stolen
3158-1638-7701-9309,Premium,CC25645,B,S,Stolen
3525-9763-6876-7431,Platinum,CC65775,B,M,Misplaced
6770-4547-6958-5035,Platinum,CC35596,B,M,Misplaced
1629-9566-3285-2123,Platinum,CC24544,B,M,Misplaced
6893-1438-6516-3207,Premium,CC13421,B,M,Misplaced
3440-3330-5015-4988,Premium,CC28038,A,G,Good
6262-7793-5307-8561,Premium,CC90510,A,G,Good
8135-1903-7706-2260,Premium,CC52705,A,G,Good
6171-3568-7740-8072,Premium,CC35449,A,G,Good
8321-8463-7644-8934,Premium,CC78536,A,G,Good
5144-5591-4640-2208,Premium,CC17602,A,G,Good
8582-2422-3251-5767,Premium,CC59721,A,G,Good
9322-7578-8781-2684,Platinum,CC70711,A,G,Good
9314-8332-5195-8287,Gold,CC93412,A,G,Good
5574-7647-1844-5316,Premium,CC92850,A,G,Good
4971-8219-1133-6753,Gold,CC23687,A,G,Good
5811-4353-3490-5513,Gold,CC66648,C,S,Stolen
2357-9896-6403-5970,Gold,CC26081,A,G,Good
8578-3662-1951-5720,Premium,CC17651,A,G,Good
5592-8244-5701-5100,Gold,CC78221,A,G,Good
9391-7086-9113-4893,Platinum,CC99704,A,G,Good
9132-7052-6630-5540,Gold,CC70110,A,G,Good
4856-2191-9879-6388,Gold,CC38711,A,G,Good
7382-8932-9683-9480,Premium,CC57759,A,G,Good
8870-2780-7399-5151,Platinum,CC46922,A,G,Good
3007-2083-4197-9770,Platinum,CC87002,A,G,Good
4703-4800-3443-6825,Premium,CC11486,A,G,Good
2161-8530-5218-6803,Gold,CC29479,A,G,Good
9946-6939-3033-9593,Platinum,CC45937,A,G,Good
5018-8635-8433-6614,Premium,CC20490,A,G,Good
6765-2732-8888-1318,Gold,CC48782,C,S,Stolen
8462-5562-6993-2745,Gold,CC30640,A,G,Good
4954-2506-4917-1734,Platinum,CC20141,A,G,Good
1765-4019-5141-9230,Platinum,CC95833,A,G,Good
6045-2636-8278-8875,Platinum,CC42497,A,G,Good
7658-7645-4568-1461,Gold,CC17463,A,G,Good
5380-2273-3524-9795,Premium,CC62968,A,G,Good
2017-7197-7814-9950,Platinum,CC93684,A,G,Good
6085-9783-3284-2783,Premium,CC33694,A,G,Good
1556-5778-6667-4345,Gold,CC92905,A,G,Good
4491-2026-2441-2049,Premium,CC50476,A,G,Good
7633-7985-2079-2990,Platinum,CC42937,A,G,Good
5283-6135-5709-4452,Premium,CC75172,B,M,Misplaced
3359-9828-1991-2013,Premium,CC95660,A,G,Good
6292-8171-2649-5336,Platinum,CC52309,A,G,Good
5556-4557-4566-1540,Gold,CC46484,A,G,Good
8614-1547-9524-8444,Platinum,CC95958,A,G,Good
4679-5406-6408-1233,Gold,CC65031,A,G,Good
6271-9924-3653-8913,Gold,CC62567,A,G,Good
2495-1344-4998-6045,Platinum,CC78778,A,G,Good
7299-3529-7767-1695,Gold,CC24173,A,G,Good
3439-5404-2739-7517,Gold,CC17528,A,G,Good
1782-8675-4061-3666,Gold,CC71198,A,G,Good
5349-1963-8417-8327,Premium,CC85592,A,G,Good
4679-8417-8700-1213,Premium,CC80464,A,G,Good
7697-2274-6431-6408,Premium,CC34035,A,G,Good
9999-3058-2698-4238,Premium,CC48724,A,G,Good
4959-5036-1379-1303,Platinum,CC19785,A,G,Good
1449-4529-1480-3546,Premium,CC95143,A,G,Good
1661-3809-5334-2155,Gold,CC61332,A,G,Good
7141-7294-3956-4408,Gold,CC85900,A,G,Good
6540-2862-2962-5109,Premium,CC78862,A,G,Good
3146-4961-6964-4229,Premium,CC43059,A,G,Good
4448-9587-7180-9589,Premium,CC31210,A,G,Good
2724-3903-7331-7820,Platinum,CC94754,A,G,Good
2649-6876-7496-4123,Premium,CC13320,A,G,Good
6815-5139-5546-1802,Premium,CC37292,A,G,Good
5590-1294-8800-2874,Premium,CC28205,A,G,Good
7430-6895-6227-4665,Gold,CC11154,A,G,Good
8177-5533-1183-4063,Gold,CC36475,A,G,Good
8918-6235-3308-7862,Premium,CC93261,A,G,Good
5341-5445-8369-7039,Premium,CC43699,A,G,Good
4246-1369-3659-8804,Platinum,CC21111,A,G,Good
5616-5526-4836-1962,Gold,CC38556,A,G,Good
6617-5782-1394-1632,Gold,CC74385,A,G,Good
2893-7786-7528-2338,Gold,CC95121,A,G,Good
8528-6154-7390-5081,Premium,CC90833,A,G,Good
7811-4511-7664-6960,Gold,CC73883,A,G,Good
8305-2272-4553-4911,Premium,CC82682,A,G,Good
2854-6117-5924-2770,Platinum,CC70113,A,G,Good
9369-6196-2597-1730,Gold,CC61652,A,G,Good
5274-7205-2377-3357,Premium,CC51714,A,G,Good
2911-7555-3093-9231,Gold,CC74712,A,G,Good
8869-7604-9618-3740,Gold,CC60553,A,G,Good
5533-2042-7236-9790,Platinum,CC71781,A,G,Good
4420-9925-9792-9113,Platinum,CC99132,A,G,Good
5936-1967-4966-6077,Gold,CC52681,A,G,Good
6750-4821-2334-9977,Gold,CC18336,A,G,Good
3925-8607-7303-7699,Gold,CC85979,A,G,Good
1909-6288-2284-5317,Gold,CC96619,A,G,Good
6148-9835-7115-4405,Platinum,CC66202,C,S,Stolen
2964-4590-9510-4405,Premium,CC57249,A,G,Good
5530-1215-6434-9691,Gold,CC92155,A,G,Good
1585-2708-4693-1454,Premium,CC26492,A,G,Good
3430-7717-8611-4878,Premium,CC37404,A,G,Good
7863-1291-5335-8126,Gold,CC52496,A,G,Good
6699-2639-4522-6219,Gold,CC85028,A,G,Good
4587-3535-8224-4301,Premium,CC17727,A,G,Good
6343-7134-9888-2361,Premium,CC31257,A,G,Good
4963-4850-8565-5494,Premium,CC30013,A,G,Good
5316-4617-7300-3260,Gold,CC17040,A,G,Good
8486-4186-7122-3452,Gold,CC36205,A,G,Good
6016-6956-6981-3103,Platinum,CC99306,A,G,Good
8518-4517-6409-6976,Platinum,CC19730,A,G,Good
3545-8540-7402-9523,Gold,CC24722,A,G,Good
6515-8771-7352-9788,Gold,CC15079,A,G,Good
3140-6494-9869-5893,Premium,CC17003,A,G,Good
2711-5438-4449-9824,Premium,CC39863,A,G,Good
9930-4634-8565-6716,Premium,CC41731,A,G,Good
3440-1978-8156-5313,Premium,CC78973,A,G,Good
7837-4036-5999-1672,Gold,CC21312,A,G,Good
1825-7669-6621-9045,Premium,CC26307,A,G,Good
3969-9181-6385-4422,Gold,CC71597,A,G,Good
3698-9867-4865-5497,Platinum,CC26192,A,G,Good
2116-6906-9722-9824,Premium,CC33423,A,G,Good
4562-2665-7578-1931,Premium,CC19186,A,G,Good
5481-9525-6488-7566,Premium,CC56172,A,G,Good
8262-8743-6406-7105,Premium,CC30400,A,G,Good
6785-6309-6247-3002,Platinum,CC50312,A,G,Good
8249-2687-5339-2078,Platinum,CC27190,A,G,Good
3295-6390-4452-7199,Gold,CC76008,C,S,Stolen
9386-8854-6115-4075,Gold,CC35402,A,G,Good
2264-2870-6785-2725,Premium,CC34812,A,G,Good
2834-5946-1542-4074,Gold,CC85673,A,G,Good
7334-1842-5941-2149,Premium,CC92316,A,G,Good
4093-1634-8086-4601,Platinum,CC72196,A,G,Good
3461-8685-2115-2963,Platinum,CC29656,A,G,Good
2992-8127-2278-9771,Gold,CC34207,A,G,Good
7276-7349-6334-3809,Premium,CC46637,A,G,Good
6001-5945-4665-4926,Gold,CC36387,A,G,Good
5778-9566-9086-7555,Gold,CC34752,A,G,Good
2219-4852-5937-6242,Premium,CC56840,A,G,Good
4144-3271-6301-9342,Premium,CC19740,A,G,Good
3170-4662-9297-6384,Premium,CC67668,A,G,Good
9721-7299-5635-3504,Gold,CC68259,A,G,Good
5251-7364-6702-5590,Premium,CC87270,A,G,Good
3573-2839-9869-7747,Platinum,CC42497,A,G,Good
7725-3576-5626-3317,Gold,CC40274,A,G,Good
8259-5688-7450-9931,Premium,CC87694,A,G,Good
3167-9604-1650-2605,Platinum,CC53812,A,G,Good
5674-3252-5805-3288,Premium,CC78942,A,G,Good
9517-7826-1862-6726,Gold,CC78843,A,G,Good
3323-8332-7133-7008,Gold,CC90178,A,G,Good
8836-7078-5752-6312,Premium,CC40274,A,G,Good
2463-9055-1240-3878,Premium,CC27404,A,G,Good
4427-5380-8182-9668,Gold,CC70138,A,G,Good
1546-9786-8388-4937,Premium,CC49168,A,G,Good
1817-8543-9660-4802,Premium,CC31597,A,G,Good
4334-6855-2003-9239,Gold,CC87102,A,G,Good
1947-8602-1695-7503,Gold,CC26034,A,G,Good
6319-3749-2944-6015,Premium,CC60322,A,G,Good
2370-4593-4826-2349,Gold,CC45414,A,G,Good
3467-3224-2464-5799,Premium,CC68517,A,G,Good
3697-6001-4909-5350,Gold,CC62261,C,S,Stolen
4937-6752-6970-3163,Platinum,CC76150,A,G,Good
3134-9713-5764-8285,Premium,CC49547,A,G,Good
7504-5906-9389-8905,Premium,CC31083,A,G,Good
3748-8048-5227-8162,Gold,CC67039,A,G,Good
3648-6856-2869-1255,Gold,CC74126,A,G,Good
6835-6133-8935-6988,Gold,CC91183,A,G,Good
2524-4184-5908-6750,Platinum,CC69171,A,G,Good
6258-3903-6637-5620,Gold,CC75243,A,G,Good
1536-9786-1960-7400,Premium,CC70382,A,G,Good
7966-2894-6066-2530,Premium,CC51058,A,G,Good
7306-7457-8875-3211,Platinum,CC26131,A,G,Good
9635-4234-8168-7095,Premium,CC68779,A,G,Good
6025-2610-4001-6680,Platinum,CC18139,A,G,Good
4646-8260-8197-7078,Gold,CC68821,A,G,Good
9873-6894-5872-1884,Premium,CC32108,A,G,Good
4770-7274-9917-1594,Premium,CC15895,A,G,Good
4294-8894-4829-7801,Platinum,CC65968,A,G,Good
1947-8327-3848-6581,Platinum,CC11690,A,G,Good
9018-5320-5729-5393,Premium,CC54582,A,G,Good
5580-3409-5276-9882,Premium,CC86871,A,G,Good
2949-1972-1300-6680,Gold,CC68567,A,G,Good
4991-3814-8016-9048,Gold,CC60931,A,G,Good
1716-8420-2111-4735,Platinum,CC42942,A,G,Good
2201-1387-2319-6874,Platinum,CC88026,A,G,Good
7726-3678-8092-6414,Premium,CC64007,A,G,Good
1187-8674-2708-3972,Platinum,CC82145,A,G,Good
7815-5255-1963-9464,Gold,CC91171,A,G,Good
3196-5064-6247-7113,Premium,CC51619,A,G,Good
7234-6377-8525-5139,Platinum,CC63449,A,G,Good
5384-8278-5616-5502,Premium,CC83124,A,G,Good
5010-4875-7956-3628,Premium,CC65080,A,G,Good
9360-2827-9359-7064,Platinum,CC66974,A,G,Good
2056-7091-8023-1914,Premium,CC59183,A,G,Good
7662-3108-4951-8587,Platinum,CC26032,A,G,Good
3362-7342-4639-8164,Premium,CC65840,A,G,Good
8002-6041-9878-5658,Platinum,CC51984,A,G,Good
3114-9778-2542-3154,Gold,CC50434,A,G,Good
9779-2601-5260-2896,Gold,CC99952,A,G,Good
5002-6349-2806-2942,Premium,CC26267,A,G,Good
9542-6082-9630-9970,Platinum,CC66351,A,G,Good
7558-5459-8235-5737,Premium,CC93123,A,G,Good
2595-7800-1142-5225,Premium,CC97721,A,G,Good
8078-7413-3861-2246,Premium,CC81464,A,G,Good
9753-7718-2196-1448,Platinum,CC97559,A,G,Good
5175-8965-9249-9021,Premium,CC86374,A,G,Good
9842-5558-3255-3410,Premium,CC40052,A,G,Good
